Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
2A|1215|36.897847|-97.907018|362.1|1215|2016-04-13T16:18:08|2016-05-13T15:55:35
2A|1216|36.897877|-97.902714|358.4|1216|2016-04-13T16:13:31|2016-05-13T15:53:15
2A|1217|36.897882|-97.897999|357.3|1217|2016-04-13T16:11:10|2016-05-13T15:50:40
2A|1218|36.897966|-97.888976|349.7|1218|2016-04-13T16:07:50|2016-05-13T15:46:30
2A|1219|36.89802|-97.884716|351.9|1219|2016-04-13T16:04:14|2016-05-13T15:40:06
2A|122|36.673354|-98.055767|335.3|122|2016-04-11T22:52:42|2016-05-10T21:00:52
2A|1220|36.898032|-97.880232|350.9|1220|2016-04-13T16:01:46|2016-05-13T15:35:33
2A|1221|36.89808|-97.87077|346.3|1221|2016-04-13T15:58:49|2016-05-13T15:32:56
2A|1222|36.898079|-97.866355|341.5|1222|2016-04-13T15:56:28|2016-05-13T15:30:54
2A|1223|36.89818|-97.862004|339.4|1223|2016-04-13T15:53:44|2016-05-13T15:28:44
2A|1224|36.898011|-97.853505|337.5|1224|2016-04-13T15:50:37|2016-05-13T18:35:12
2A|1225|36.897863|-97.834935|344.6|1225|2016-04-13T15:42:03|2016-05-13T15:11:01
2A|1226|36.897879|-97.830341|344.6|1226|2016-04-13T15:39:46|2016-05-13T15:09:07
2A|1227|36.89786|-97.8256|343.8|1227|2016-04-13T15:37:49|2016-05-13T15:06:35
2A|1228|36.897831|-97.816531|341.4|1228|2016-04-13T15:35:04|2016-05-13T15:03:55
2A|1229|36.897764|-97.812063|340.4|1229|2016-04-13T15:32:35|2016-05-13T15:00:30
2A|123|36.669703|-98.055668|337.5|123|2016-04-11T22:56:31|2016-05-10T21:05:22
2A|1230|36.897741|-97.807782|343.1|1230|2016-04-13T15:29:52|2016-05-13T14:56:56
2A|1231|36.897675|-97.79866|336.7|1231|2016-04-13T15:27:30|2016-05-13T14:52:43
2A|1232|36.897567|-97.793875|335.3|1232|2016-04-13T15:25:44|2016-05-13T14:49:28
